lag_0,lag_1,lag_2,lag_3,lag_7,lag_14,lag_21,lag_28,lag_365,lag_366,rolling_7,rolling_30,hdd_fc,cdd_fc,dew_point_fc,solar_rad_fc
109181,107374.0,106144.0,102400.0,106648.0,105413.0,109617.0,116769.0,125324.0,123212.0,106618.28571428572,108059.53333333334,4.0,0.0,27.0,15.28
109799,109181.0,107374.0,106144.0,107893.0,106910.0,109109.0,112983.0,125452.0,125324.0,106980.14285714286,107618.26666666666,4.5,0.0,42.3,5.4
110868,109799.0,109181.0,107374.0,109478.0,108499.0,109396.0,109059.0,121982.0,125452.0,107252.42857142857,107425.73333333334,0.0,0.0,39.8,20.54
101933,110868.0,109799.0,109181.0,106391.0,103586.0,103204.0,106277.0,123036.0,121982.0,107451.0,107229.03333333334,3.5,0.0,41.2,5.54
104175,101933.0,110868.0,109799.0,102400.0,100836.0,101605.0,106911.0,110330.0,123036.0,106814.14285714286,106860.7,5.5,0.0,36.9,5.18
110360,104175.0,101933.0,110868.0,106144.0,108641.0,105411.0,111212.0,109986.0,110330.0,107067.71428571428,106697.9,0.0,0.0,36.5,24.23
106833,110360.0,104175.0,101933.0,107374.0,105963.0,104373.0,111690.0,122788.0,109986.0,107670.0,106834.0,0.0,0.0,42.6,9.58
108896,106833.0,110360.0,104175.0,109181.0,106648.0,105413.0,109617.0,124142.0,122788.0,107592.71428571428,106831.4,0.0,0.0,51.8,9.67
109556,108896.0,106833.0,110360.0,109799.0,107893.0,106910.0,109109.0,124392.0,124142.0,107552.0,106754.2,0.0,0.0,53.4,15.93
107240,109556.0,108896.0,106833.0,110868.0,109478.0,108499.0,109396.0,125825.0,124392.0,107517.28571428572,106683.06666666668,0.0,0.0,42.3,26.25
101092,107240.0,109556.0,108896.0,101933.0,106391.0,103586.0,103204.0,124402.0,125825.0,106999.0,106603.83333333331,0.0,2.0,50.5,21.61
101934,101092.0,107240.0,109556.0,104175.0,102400.0,100836.0,101605.0,113412.0,124402.0,106878.85714285714,106336.6,0.0,0.0,43.8,20.78
106922,101934.0,101092.0,107240.0,110360.0,106144.0,108641.0,105411.0,112693.0,113412.0,106558.71428571428,106087.86666666668,0.0,0.0,32.2,25.59
104493,106922.0,101934.0,101092.0,106833.0,107374.0,105963.0,104373.0,124527.0,112693.0,106067.57142857143,106211.8,1.5,0.0,40.5,7.82
106901,104493.0,106922.0,101934.0,108896.0,109181.0,106648.0,105413.0,125335.0,124527.0,105733.28571428572,106308.06666666668,0.0,0.0,34.9,23.53
105000,106901.0,104493.0,106922.0,109556.0,109799.0,107893.0,106910.0,125344.0,125335.0,105448.28571428572,106357.73333333334,3.5,0.0,37.9,8.67
107045,105000.0,106901.0,104493.0,107240.0,110868.0,109478.0,108499.0,123486.0,125344.0,104797.42857142857,106378.63333333332,9.0,0.0,22.3,25.61
105448,107045.0,105000.0,106901.0,101092.0,101933.0,106391.0,103586.0,127630.0,123486.0,104769.57142857143,106433.03333333334,0.0,0.0,29.8,24.8
101273,105448.0,107045.0,105000.0,101934.0,104175.0,102400.0,100836.0,114199.0,127630.0,105391.85714285714,106384.3,0.0,0.0,40.9,18.33
106548,101273.0,105448.0,107045.0,106922.0,110360.0,106144.0,108641.0,112482.0,114199.0,105297.42857142857,106143.43333333332,0.0,0.0,28.4,27.27
106020,106548.0,101273.0,105448.0,104493.0,106833.0,107374.0,105963.0,127578.0,112482.0,105244.0,106242.16666666669,0.0,0.0,28.6,25.99
105496,106020.0,106548.0,101273.0,106901.0,108896.0,109181.0,106648.0,127299.0,127578.0,105462.14285714286,106414.96666666666,0.0,0.0,38.7,27.16
104813,105496.0,106020.0,106548.0,105000.0,109556.0,109799.0,107893.0,125446.0,127299.0,105261.42857142857,106310.13333333332,0.0,7.0,57.7,22.11
112782,104813.0,105496.0,106020.0,107045.0,107240.0,110868.0,109478.0,126102.0,125446.0,105234.71428571428,106271.8,0.0,3.0,53.9,26.28
109350,112782.0,104813.0,105496.0,105448.0,101092.0,101933.0,106391.0,131001.0,126102.0,106054.28571428572,106476.26666666666,0.0,0.0,47.6,25.03
101478,109350.0,112782.0,104813.0,101273.0,101934.0,104175.0,102400.0,115861.0,131001.0,106611.71428571428,106524.83333333331,0.0,0.0,48.0,20.24
106351,101478.0,109350.0,112782.0,106548.0,106922.0,110360.0,106144.0,118365.0,115861.0,106641.0,106258.16666666669,0.0,0.0,39.5,24.83
104990,106351.0,101478.0,109350.0,106020.0,104493.0,106833.0,107374.0,152580.0,118365.0,106612.85714285714,106256.83333333331,0.0,0.0,38.2,27.33
104160,104990.0,106351.0,101478.0,105496.0,106901.0,108896.0,109181.0,133705.0,152580.0,106465.71428571428,106343.16666666669,0.0,0.0,44.9,29.55
104754,104160.0,104990.0,106351.0,104813.0,105000.0,109556.0,109799.0,131494.0,133705.0,106274.85714285714,106277.03333333334,0.0,0.5,55.2,21.52
109076,104754.0,104160.0,104990.0,112782.0,107045.0,107240.0,110868.0,133209.0,131494.0,106266.42857142857,106189.7,0.0,0.0,59.0,9.37
105665,109076.0,104754.0,104160.0,109350.0,105448.0,101092.0,101933.0,135155.0,133209.0,105737.0,106186.2,0.0,0.0,46.7,25.96
98759,105665.0,109076.0,104754.0,101478.0,101273.0,101934.0,104175.0,115120.0,135155.0,105210.57142857143,106048.4,0.0,0.0,55.0,14.9
102478,98759.0,105665.0,109076.0,106351.0,106548.0,106922.0,110360.0,124725.0,115120.0,104822.14285714286,105644.76666666666,0.0,3.0,59.4,23.26
111744,102478.0,98759.0,105665.0,104990.0,106020.0,104493.0,106833.0,130806.0,124725.0,104268.85714285714,105662.93333333332,0.0,4.5,61.1,18.18
114887,111744.0,102478.0,98759.0,104160.0,105496.0,106901.0,108896.0,142568.0,130806.0,105233.71428571428,105915.23333333334,0.0,5.0,64.3,15.88
119979,114887.0,111744.0,102478.0,104754.0,104813.0,105000.0,109556.0,138576.0,142568.0,106766.14285714286,106066.13333333332,0.0,9.0,68.2,15.86
127358,119979.0,114887.0,111744.0,109076.0,112782.0,107045.0,107240.0,132614.0,138576.0,108941.14285714286,106504.33333333331,0.0,9.0,58.7,26.85
120443,127358.0,119979.0,114887.0,105665.0,109350.0,105448.0,101092.0,143687.0,132614.0,111552.85714285714,107119.73333333334,0.0,0.0,40.7,29.56
105733,120443.0,127358.0,119979.0,98759.0,101478.0,101273.0,101934.0,130607.0,143687.0,113664.0,107482.63333333332,0.0,0.0,40.4,23.23
108395,105733.0,120443.0,127358.0,102478.0,106351.0,106548.0,106922.0,132932.0,130607.0,114660.28571428572,107432.4,0.0,0.5,47.7,18.45
111306,108395.0,105733.0,120443.0,111744.0,104990.0,106020.0,104493.0,136132.0,132932.0,115505.57142857143,107675.83333333331,0.0,4.5,62.1,19.35
124072,111306.0,108395.0,105733.0,114887.0,104160.0,105496.0,106901.0,130630.0,136132.0,115443.0,107988.23333333334,0.0,10.0,62.8,27.11
135911,124072.0,111306.0,108395.0,119979.0,104754.0,104813.0,105000.0,145649.0,130630.0,116755.14285714286,108559.9,0.0,9.0,67.9,7.72
138728,135911.0,124072.0,111306.0,127358.0,109076.0,112782.0,107045.0,163065.0,145649.0,119031.14285714286,109607.16666666669,0.0,13.0,64.7,23.44
137443,138728.0,135911.0,124072.0,120443.0,105665.0,109350.0,105448.0,155590.0,163065.0,120655.42857142857,110668.06666666668,0.0,4.5,49.9,27.17
117827,137443.0,138728.0,135911.0,105733.0,98759.0,101478.0,101273.0,135629.0,155590.0,123084.0,111749.5,0.0,4.0,49.9,29.7
126037,117827.0,137443.0,138728.0,108395.0,102478.0,106351.0,106548.0,126640.0,135629.0,124811.71428571428,112108.9,0.0,11.0,57.3,28.84
141241,126037.0,117827.0,137443.0,111306.0,111744.0,104990.0,106020.0,139108.0,126640.0,127332.0,112795.2,0.0,12.5,65.7,24.89
151018,141241.0,126037.0,117827.0,124072.0,114887.0,104160.0,105496.0,142714.0,139108.0,131608.42857142858,114127.46666666666,0.0,12.0,69.9,11.04
149906,151018.0,141241.0,126037.0,135911.0,119979.0,104754.0,104813.0,138851.0,142714.0,135457.85714285713,115609.8,0.0,12.0,57.8,28.39
146423,149906.0,151018.0,141241.0,138728.0,127358.0,109076.0,112782.0,133742.0,138851.0,137457.14285714287,117072.66666666669,0.0,2.0,46.3,29.83
120480,146423.0,149906.0,151018.0,137443.0,120443.0,105665.0,109350.0,132404.0,133742.0,138556.42857142858,118436.9,0.0,0.0,47.3,29.06
109258,120480.0,146423.0,149906.0,117827.0,105733.0,98759.0,101478.0,126902.0,132404.0,136133.14285714287,118959.13333333332,0.0,2.0,53.6,24.7
121816,109258.0,120480.0,146423.0,126037.0,108395.0,102478.0,106351.0,136393.0,126902.0,134909.0,118841.66666666669,0.0,4.0,53.8,28.93
124252,121816.0,109258.0,120480.0,141241.0,111306.0,111744.0,104990.0,158268.0,136393.0,134306.0,119257.2,0.0,4.0,58.3,27.49
127685,124252.0,121816.0,109258.0,151018.0,124072.0,114887.0,104160.0,157077.0,158268.0,131879.0,120016.33333333331,0.0,6.0,64.8,14.58
134290,127685.0,124252.0,121816.0,149906.0,135911.0,119979.0,104754.0,150630.0,157077.0,128545.71428571428,120727.46666666666,0.0,9.0,65.7,19.3
140428,134290.0,127685.0,124252.0,146423.0,138728.0,127358.0,109076.0,156815.0,150630.0,126314.85714285714,121704.13333333332,0.0,13.0,67.5,22.83
