lag_0,lag_1,lag_2,lag_3,lag_7,lag_14,lag_21,lag_28,lag_365,lag_366,rolling_7,rolling_30,tmin_fc,tmax_fc,tavg_fc,dew_point_fc,rh_mean_fc,prcp_fc,snow_fc,snwd_fc,solar_rad_fc,cloud_cover_fc,hdd_fc,cdd_fc,tavg_3day_fc,cdd_3day_fc,hdd_3day_fc,is_weekend_next,is_holiday_next,daylight_hours_next
114037,126067.0,128016.0,124617.0,122125.0,129490.0,125920.0,134595.0,130524.0,132981.0,123823.9,129653.3,40.0,54.0,47.0,26.4,52.0,0.0,0.0,0.0,19.45,34.0,3.0,0.0,51.5,0.0,1.0,1.0,0.0,11.94
112339,114037.0,126067.0,128016.0,113235.0,126062.0,119214.0,126028.0,118295.0,130524.0,122668.4,128918.7,33.0,45.0,39.0,22.7,57.0,0.0,0.0,0.0,17.67,48.0,11.0,0.0,45.3,0.0,4.7,0.0,0.0,11.99
125963,112339.0,114037.0,126067.0,126959.0,131611.0,129724.0,125814.0,120153.0,118295.0,122540.4,128020.3,41.0,54.0,47.5,38.7,82.0,0.16,0.0,0.0,8.64,82.0,2.5,0.0,44.5,0.0,5.5,0.0,0.0,12.03
123622,125963.0,112339.0,114037.0,125748.0,128988.0,130168.0,134632.0,134932.0,120153.0,122398.1,127732.6,41.0,54.0,47.5,31.8,65.0,0.0,0.0,0.0,18.87,56.0,2.5,0.0,44.7,0.0,5.3,0.0,0.0,12.08
120106,123622.0,125963.0,112339.0,124617.0,128251.0,131364.0,131988.0,133841.0,134932.0,122094.4,127652.4,41.0,52.0,46.5,41.9,84.0,0.93,0.0,0.0,9.62,96.0,3.5,0.0,47.2,0.0,2.8,0.0,0.0,12.12
121029,120106.0,123622.0,125963.0,128016.0,129517.0,133929.0,138646.0,132471.0,133841.0,121450.0,127462.1,47.0,77.0,62.0,51.1,80.0,0.0,0.0,0.0,9.24,94.0,0.0,0.0,52.0,0.0,2.0,0.0,0.0,12.17
117898,121029.0,120106.0,123622.0,126067.0,132096.0,138016.0,141414.0,133776.0,132471.0,120451.9,127008.7,40.0,65.0,52.5,26.0,45.0,0.0,0.0,0.0,19.46,60.0,0.0,0.0,53.7,0.0,1.2,1.0,0.0,12.21
108006,117898.0,121029.0,120106.0,114037.0,122125.0,129490.0,125920.0,133807.0,133776.0,119284.9,126539.0,33.0,45.0,39.0,19.7,51.0,0.0,0.0,0.0,14.98,72.0,11.0,0.0,51.2,0.0,3.7,1.0,0.0,12.26
110110,108006.0,117898.0,121029.0,112339.0,113235.0,126062.0,119214.0,123832.0,133807.0,118423.3,125517.7,36.0,41.0,38.5,32.5,85.0,1.16,0.0,0.0,2.27,98.0,11.5,0.0,43.3,0.0,7.5,0.0,0.0,12.31
122419,110110.0,108006.0,117898.0,125963.0,126959.0,131611.0,129724.0,117964.0,123832.0,118104.9,124474.2,36.0,55.0,45.5,33.5,71.0,0.0,0.0,0.0,20.01,37.0,4.5,0.0,41.0,0.0,9.0,0.0,0.0,12.35
115575,122419.0,110110.0,108006.0,123622.0,125748.0,128988.0,130168.0,129783.0,117964.0,117598.6,124357.5,40.0,45.0,42.5,34.3,77.0,0.01,0.0,0.0,5.83,89.0,7.5,0.0,42.2,0.0,7.8,0.0,0.0,12.4
116769,115575.0,122419.0,110110.0,120106.0,124617.0,128251.0,131364.0,131720.0,129783.0,116449.0,124236.2,38.0,60.0,49.0,35.6,74.0,0.0,0.0,0.0,21.57,25.0,1.0,0.0,45.7,0.0,4.3,0.0,0.0,12.44
