lag_0,lag_1,lag_2,lag_3,lag_7,lag_14,lag_21,lag_28,lag_365,lag_366,rolling_7,rolling_30,tmin_fc,tmax_fc,tavg_fc,dew_point_fc,rh_mean_fc,rh_max_fc,prcp_fc,snow_fc,snwd_fc,solar_rad_fc,cloud_cover_fc,sunshine_hours_fc,hdd_fc,cdd_fc,tavg_3day_fc,cdd_3day_fc,hdd_3day_fc,is_weekend_next,is_holiday_next,daylight_hours_next,dow_0,dow_1,dow_2,dow_3,dow_4,dow_5,dow_6,doy_sin_1,doy_cos_1,doy_sin_2,doy_cos_2
132082,134513.0,132956.0,116201.0,140076.0,124168.0,119684.0,146073.0,146343.0,148361.0,132243.14285714287,133301.63333333333,33.0,49.0,41.0,31.5,69.0,94.0,0.11,0.0,0.0,7.83,49.0,8.09,9.0,0.0,43.0,0.0,7.0,0.0,0.0,9.59,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2717767384711357,0.9623603298276545,0.5230943033491326,0.8522748088519838
134558,132082.0,134513.0,132956.0,144582.0,135759.0,131981.0,155134.0,144923.0,146343.0,131101.14285714287,132959.9,21.0,33.0,27.0,5.9,42.0,56.0,0.0,0.0,0.0,10.5,30.0,9.46,23.0,0.0,37.8,0.0,12.2,0.0,0.0,9.62,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2882906407095177,0.9575429528116719,0.5521013427459208,0.8337770129585915
144695,134558.0,132082.0,134513.0,137402.0,133483.0,129502.0,150697.0,145991.0,144923.0,129669.14285714286,132590.4,20.0,37.0,28.5,11.7,57.0,95.0,0.37,2.1,0.0,3.08,100.0,0.26,21.5,0.0,32.2,0.0,17.8,1.0,0.0,9.64,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3047192331091634,0.9524422234305676,0.580454927809098,0.8142923779467267
137365,144695.0,134558.0,132082.0,119972.0,122924.0,119817.0,137208.0,143529.0,145991.0,130711.0,132544.46666666667,27.0,43.0,35.0,26.4,69.0,95.0,0.0,0.0,1.2,6.79,65.0,7.38,15.0,0.0,30.2,0.0,19.8,1.0,0.0,9.67,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.321057654185271,0.9470596510722283,0.6081214998935418,0.7938439653781019
126410,137365.0,144695.0,134558.0,116201.0,123997.0,120531.0,128731.0,132279.0,143529.0,133195.7142857143,131952.16666666666,20.0,31.0,25.5,6.2,45.0,56.0,0.0,0.0,0.0,10.89,11.0,9.54,24.5,0.0,29.7,0.0,20.3,0.0,1.0,9.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3373010691361842,0.9413968285264122,0.6350683134867438,0.7724559775191742
142280,126410.0,137365.0,144695.0,132956.0,138154.0,134843.0,134395.0,133912.0,132279.0,134654.14285714287,131142.6,20.0,33.0,26.5,8.0,49.0,69.0,0.0,0.0,0.0,10.5,18.0,9.57,23.5,0.0,29.0,0.0,21.0,0.0,0.0,9.73,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3534446712740877,0.9354554315134164,0.6612634749656386,0.7501537286959042
148015,142280.0,126410.0,137365.0,134513.0,136907.0,131905.0,129477.0,159311.0,133912.0,135986.14285714287,131311.66666666666,25.0,38.0,31.5,16.5,65.0,83.0,0.0,0.0,0.0,10.73,6.0,9.6,18.5,0.0,27.8,0.0,22.2,0.0,0.0,9.76,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3694836834473831,0.9292372181882051,0.6866759803451553,0.726963615332308
143862,148015.0,142280.0,126410.0,132082.0,140076.0,124168.0,119684.0,159198.0,159311.0,137915.0,131954.46666666667,33.0,47.0,40.0,18.5,62.0,88.0,0.0,0.0,0.0,8.04,87.0,7.72,10.0,0.0,32.7,0.0,17.3,0.0,0.0,9.79,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.38541335945432564,0.9227440286201427,0.7112757519738152,0.7029130847082615
139314,143862.0,148015.0,142280.0,134558.0,144582.0,135759.0,131981.0,148575.0,159198.0,139597.85714285713,132270.03333333333,37.0,51.0,44.0,27.0,69.0,89.0,0.0,0.0,0.0,10.61,55.0,9.58,6.0,0.0,38.5,0.0,11.5,0.0,0.0,9.83,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4012289854475009,0.9159777842484877,0.7350336741329413,0.6780306024735382
135154,139314.0,143862.0,148015.0,144695.0,137402.0,133483.0,129502.0,139935.0,148575.0,140277.2857142857,132597.93333333332,38.0,51.0,44.5,39.3,93.0,99.0,0.85,0.0,0.0,0.94,82.0,0.0,5.5,0.0,42.8,0.0,7.2,1.0,0.0,9.86,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4169258813287287,0.908940487313808,0.7579216274973472,0.6523456189565257
