prcp,tmin,tmax,rh_mean,rh_max,dew_point,solar_rad,cloud_cover,daylight_hours,sunshine_hours,is_weekend,is_holiday,day_of_week,tavg,hdd,cdd,tavg_3day,cdd_3day,hdd_3day,tavg_lag1,lag_0,lag_1,lag_2,lag_3,lag_7,lag_14,lag_21,lag_28,lag_365,lag_366,rolling_7,rolling_30
0.26,49.0,59.0,86,98,45.2,10.17,85,11.4,6.1,0,0,1,54.0,0.0,0.0,45.8,0.0,5.5,49.0,128988,131611.0,126062.0,129490.0,130168.0,134632.0,133740.0,132023.0,141496.0,127285.0,131520.0,131757.9
0.0,45.0,56.0,57,83,31.4,16.91,36,11.44,11.12,0,0,2,50.5,0.0,0.0,51.2,0.0,0.3,54.0,128251,128988.0,131611.0,126062.0,131364.0,131988.0,133541.0,133837.0,145819.0,141496.0,131351.4,131959.8
0.0,39.0,51.0,62,89,28.5,17.93,35,11.49,10.7,0,0,3,45.0,5.0,0.0,49.8,0.0,1.7,50.5,129517,128251.0,128988.0,131611.0,133929.0,138646.0,136077.0,136492.0,151133.0,145819.0,130906.7,131800.8
0.37,37.0,45.0,86,95,35.3,6.23,76,11.53,2.77,0,0,4,41.0,9.0,0.0,45.5,0.0,4.7,45.0,132096,129517.0,128251.0,128988.0,138016.0,141414.0,139289.0,135744.0,150928.0,151133.0,130276.4,131717.3
0.0,36.0,48.0,55,91,21.0,18.24,43,11.58,10.09,1,0,5,42.0,8.0,0.0,42.7,0.0,7.3,41.0,122125,132096.0,129517.0,128251.0,129490.0,125920.0,134595.0,127588.0,144237.0,150928.0,129430.7,131659.3
0.0,35.0,59.0,45,62,21.8,17.78,20,11.63,11.48,1,0,6,47.0,3.0,0.0,43.3,0.0,6.7,42.0,113235,122125.0,132096.0,129517.0,126062.0,119214.0,126028.0,124149.0,127330.0,144237.0,128378.6,131180.4
0.0,47.0,72.0,45,62,31.0,18.53,27,11.67,11.52,0,0,0,59.5,0.0,0.0,49.5,0.0,3.7,47.0,126959,113235.0,122125.0,132096.0,131611.0,129724.0,125814.0,135691.0,122703.0,127330.0,126546.1,130430.1
0.0,54.0,65.0,67,88,43.1,5.75,84,11.72,2.24,0,0,1,59.5,0.0,0.0,55.3,0.0,1.0,59.5,125748,126959.0,113235.0,122125.0,128988.0,130168.0,134632.0,133740.0,134548.0,122703.0,125881.6,130409.1
0.0,43.0,57.0,64,88,34.7,15.35,66,11.76,10.03,0,0,2,50.0,0.0,0.0,56.3,0.0,0.0,59.5,124617,125748.0,126959.0,113235.0,128251.0,131364.0,131988.0,133541.0,137516.0,134548.0,125418.7,130462.4
0.03,43.0,50.0,77,91,35.9,6.4,73,11.81,3.33,0,0,3,46.5,3.5,0.0,52.0,0.0,1.2,50.0,128016,124617.0,125748.0,126959.0,129517.0,133929.0,138646.0,136077.0,137522.0,137516.0,124899.6,130093.3
